period,treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,non_current_accrued_expenses,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,current_provisions,payables,other_payable,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,investmentin_financial_assets,available_for_sale_securities,financial_assets_designatedas_fair_value_through_profitor_loss_total,long_term_equity_investment,investmentsin_joint_venturesat_cost,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,current_deferred_assets,restricted_cash,prepaid_assets,inventory,finished_goods,work_in_process,raw_materials,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,ticker,company,ingested_at
2025-03-31,44022782.0,1199506049.0,1243528831.0,1162490600000.0,1249493100000.0,635922400000.0,1982118100000.0,362512600000.0,635922400000.0,37763600000.0,770388600000.0,1567460500000.0,890980000000.0,120591400000.0,770388600000.0,3083200000.0,680078900000.0,29328400000.0,5581500000.0,5581500000.0,1884882700000.0,981662600000.0,61918100000.0,40752700000.0,1147900000.0,3193500000.0,61918100000.0,19120700000.0,828773300000.0,31701400000.0,797071900000.0,19820200000.0,903220100000.0,6369900000.0,420719800000.0,6062200000.0,414657600000.0,13138000000.0,375331500000.0,59371600000.0,210100000.0,7196800000.0,308553000000.0,2775862700000.0,1510130000000.0,4114600000.0,6802000000.0,7529000000.0,15731100000.0,184500000.0,52748100000.0,42294000000.0,10454100000.0,143818900000.0,29108500000.0,0.0,114710400000.0,134466200000.0,110727200000.0,23739000000.0,308312000000.0,-251300200000.0,559612200000.0,49963800000.0,4023900000.0,353476500000.0,131001800000.0,21146200000.0,0.0,1265732700000.0,15982100000.0,623200000.0,0.0,803700000.0,14930600000.0,54000700000.0,203309300000.0,80766700000.0,50848100000.0,71694500000.0,474561400000.0,82797000000.0,-4766800000.0,87563800000.0,418724700000.0,369485800000.0,49238900000.0,30903600000.0,18335300000.0,M&M.NS,Mahindra & Mahindra,2026-03-18T08:36:34.162037
2024-09-30,44843754.0,1198685077.0,1243528831.0,1094745000000.0,1168439700000.0,579370700000.0,1837702200000.0,268456800000.0,579370700000.0,35752600000.0,705015100000.0,1415301800000.0,818495400000.0,113480300000.0,705015100000.0,699437700000.0,,,5577400000.0,5577400000.0,1734303600000.0,873955600000.0,60534000000.0,23807900000.0,,,,19181500000.0,740082700000.0,29796000000.0,710286700000.0,18340700000.0,860348000000.0,88568000000.0,428357000000.0,5956600000.0,422400400000.0,11423600000.0,285259600000.0,,,8722300000.0,276537300000.0,2552799000000.0,1423994200000.0,35825500000.0,,,15713300000.0,,92006100000.0,92006100000.0,,140282500000.0,,,,125644400000.0,101103100000.0,24541300000.0,273078400000.0,,273078400000.0,45442700000.0,227635700000.0,,,,,1128804800000.0,68657200000.0,,197800000.0,,,,197648100000.0,,,,446214900000.0,85343100000.0,,,330743700000.0,292801600000.0,37942100000.0,,,M&M.NS,Mahindra & Mahindra,2026-03-18T08:36:34.162037
