period,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,other_equity_interest,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,current_provisions,payables,other_payable,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_taxes_assets,investmentin_financial_assets,available_for_sale_securities,trading_securities,long_term_equity_investment,investmentsin_joint_venturesat_cost,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,other_inventories,finished_goods,work_in_process,raw_materials,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,ticker,company,ingested_at
2025-03-31,314402574.0,314402574.0,870000000.0,953480000000.0,962399000000.0,-10463000000.0,953480000000.0,870000000.0,962399000000.0,962399000000.0,962399000000.0,962399000000.0,960827000000.0,769044000000.0,1572000000.0,1572000000.0,357319000000.0,51614000000.0,33819000000.0,33819000000.0,15944000000.0,586000000.0,586000000.0,1260000000.0,305705000000.0,16011000000.0,284000000.0,284000000.0,0.0,15646000000.0,237335000000.0,19549000000.0,34000000.0,12737000000.0,205015000000.0,1319718000000.0,1024476000000.0,10778000000.0,4940000000.0,6000000.0,535963000000.0,582281000000.0,535963000000.0,43315000000.0,1292000000.0,20317000000.0,21706000000.0,8919000000.0,8919000000.0,413491000000.0,779071000000.0,88565000000.0,6977000000.0,532742000000.0,81581000000.0,69206000000.0,0.0,295242000000.0,2538000000.0,129000000.0,203000000.0,34000000.0,34964000000.0,69132000000.0,2306000000.0,34509000000.0,3752000000.0,28565000000.0,7634000000.0,65397000000.0,-31000000.0,65428000000.0,115211000000.0,113366000000.0,1845000000.0,1018000000.0,827000000.0,MARUTI.NS,Maruti Suzuki,2026-03-18T08:36:32.533466
2024-09-30,314402574.0,314402574.0,1584000000.0,884046000000.0,891410000000.0,-36806000000.0,884046000000.0,1434000000.0,891260000000.0,891260000000.0,891260000000.0,891260000000.0,889688000000.0,,1572000000.0,1572000000.0,325705000000.0,51379000000.0,33187000000.0,,15751000000.0,1045000000.0,1045000000.0,1396000000.0,274326000000.0,44223000000.0,539000000.0,389000000.0,150000000.0,13124000000.0,195227000000.0,,,15521000000.0,179706000000.0,1216965000000.0,979445000000.0,31604000000.0,,0.0,565664000000.0,565664000000.0,,,,,,7214000000.0,7214000000.0,369187000000.0,369187000000.0,83029000000.0,286158000000.0,,,,,237520000000.0,29045000000.0,,0.0,,,69769000000.0,,,,,303000000.0,59038000000.0,,,79365000000.0,59823000000.0,19542000000.0,,,MARUTI.NS,Maruti Suzuki,2026-03-18T08:36:32.533466
