period,tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,special_income_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_and_amortization_in_income_statement,depreciation_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,ticker,company,ingested_at
2025-12-31,-190210617.941726,0.247896,41657900000.0,-767300000.0,-767300000.0,27498200000.0,1192600000.0,107049800000.0,40890600000.0,39698000000.0,-3136300000.0,3136300000.0,28075289382.058273,27498200000.0,117677500000.0,279453252.0,279169543.0,98.4,98.5,27498200000.0,27498200000.0,0.0,27498200000.0,0.0,27498200000.0,27498200000.0,9063500000.0,36561700000.0,4360400000.0,-767300000.0,-3136300000.0,3136300000.0,36104900000.0,10627700000.0,12534800000.0,1192600000.0,1192600000.0,46732600000.0,107049800000.0,153782400000.0,153782400000.0,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
2025-09-30,0.0,0.292341,34044900000.0,0.0,0.0,21220300000.0,1189900000.0,105173000000.0,34044900000.0,32855000000.0,-2868400000.0,2868400000.0,21220300000.0,21220300000.0,119094700000.0,279582345.0,279214474.0,75.9,76.0,21220300000.0,21220300000.0,0.0,21220300000.0,0.0,21220300000.0,21220300000.0,8766300000.0,29986600000.0,5758000000.0,0.0,-2868400000.0,2868400000.0,33441700000.0,13921700000.0,12268300000.0,1189900000.0,1189900000.0,47363400000.0,105173000000.0,152536400000.0,152536400000.0,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
2025-06-30,0.0,0.253394,33019200000.0,0.0,0.0,22104400000.0,1175100000.0,87759300000.0,33019200000.0,31844100000.0,-2237600000.0,2237600000.0,22104400000.0,22104400000.0,99711600000.0,279448799.0,279095960.0,79.1,79.2,22104400000.0,22104400000.0,0.0,22104400000.0,0.0,22104400000.0,22104400000.0,7502100000.0,29606500000.0,5089800000.0,0.0,-2237600000.0,2237600000.0,26754300000.0,11952300000.0,10443100000.0,1175100000.0,1175100000.0,38706600000.0,87759300000.0,126465900000.0,126465900000.0,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
2025-03-31,1445775508.708936,0.274685,22236400000.0,5263400000.0,5263400000.0,18018500000.0,1192300000.0,90523400000.0,27499800000.0,26307500000.0,7303300000.0,1465200000.0,14200875508.708937,18018500000.0,96262400000.0,,,,,18018500000.0,18018500000.0,0.0,18018500000.0,0.0,18018500000.0,18018500000.0,6823800000.0,24842300000.0,-10340100000.0,-1529900000.0,7303300000.0,1465200000.0,25782500000.0,5739000000.0,-5545800000.0,1192300000.0,1027200000.0,31521500000.0,90523400000.0,122044900000.0,122044900000.0,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
2024-12-31,0.0,0.236675,30983600000.0,0.0,0.0,21956500000.0,1017200000.0,91394400000.0,30983600000.0,29966400000.0,-1202100000.0,1202100000.0,21956500000.0,21956500000.0,100398500000.0,279700637.0,278989835.0,78.5,78.7,21956500000.0,21956500000.0,0.0,21956500000.0,0.0,21956500000.0,21956500000.0,6807800000.0,28764300000.0,3475300000.0,0.0,-1202100000.0,1202100000.0,26491100000.0,9004100000.0,7941900000.0,1017200000.0,1017200000.0,35495200000.0,91394400000.0,126889600000.0,126889600000.0,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
2024-09-30,,,,,,,,,,,,,,,,279322581.0,278760563.0,49.6,49.7,,,,,,,,,,,,,,,,,,,,,,,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T08:36:34.717246
