ticker,date,open,high,low,close,volume,ingested_at,source
BAJAJ-AUTO.NS,2025-12-18,8891.0,8891.0,8735.0,8831.0,338487,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-19,8830.5,9011.0,8827.0,9002.0,215196,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-22,9010.0,9185.0,8997.5,9164.0,377385,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-23,9184.0,9184.0,9080.0,9099.0,215559,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-24,9100.0,9194.5,9070.0,9170.0,167717,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-26,9182.5,9185.5,9052.0,9064.5,105815,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-29,9069.5,9127.0,9055.5,9087.0,263943,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-30,9087.0,9299.0,9025.5,9282.0,464922,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2025-12-31,9320.0,9398.0,9296.5,9343.0,319864,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-01,9365.0,9585.0,9318.5,9558.0,306936,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-02,9550.0,9633.0,9310.5,9502.5,733651,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-05,9520.0,9684.0,9465.0,9497.5,304245,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-06,9575.0,9783.5,9543.0,9661.0,503002,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-07,9668.0,9807.0,9608.0,9789.5,334802,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-08,9799.5,9888.0,9725.0,9760.5,534086,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-09,9760.5,9830.0,9538.0,9562.5,250994,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-12,9562.5,9588.5,9360.0,9491.0,332453,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-13,9506.0,9576.5,9458.5,9554.0,229215,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-14,9576.0,9610.0,9494.0,9579.5,335206,2026-03-18T06:11:24.844638+00:00,yfinance
BAJAJ-AUTO.NS,2026-01-15,9579.5,9579.5,9579.5,9579.5,0,2026-03-18T06:11:24.844638+00:00,yfinance
