ticker,date,open,high,low,close,volume,ingested_at,source
^CNXAUTO,2025-12-18,27459.19921875,27475.75,27013.75,27321.900390625,593200,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-19,27280.400390625,27691.80078125,27280.400390625,27657.25,1213600,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-22,27722.900390625,27896.400390625,27661.900390625,27885.30078125,463600,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-23,27962.599609375,27962.599609375,27778.25,27892.05078125,349000,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-24,27915.0,27992.05078125,27814.400390625,27885.650390625,296400,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-26,27881.0,27959.25,27683.30078125,27739.849609375,305000,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-29,27738.900390625,27833.650390625,27561.650390625,27592.5,361300,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-30,27595.05078125,27991.80078125,27516.849609375,27889.650390625,959200,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2025-12-31,27901.94921875,28226.75,27858.650390625,28189.599609375,352900,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-02,28548.25,28867.05078125,28486.55078125,28803.650390625,605400,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-05,28869.650390625,29179.099609375,28806.94921875,28894.150390625,498600,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-06,28923.44921875,28997.30078125,28812.55078125,28922.349609375,515100,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-07,28919.94921875,28938.650390625,28501.099609375,28692.400390625,339100,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-08,28639.25,28662.0,28357.599609375,28414.94921875,378100,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-09,28380.0,28516.0,28034.849609375,28087.650390625,513600,2026-03-18T08:36:29.977688+00:00,yfinance
^CNXAUTO,2026-01-12,28055.44921875,28165.55078125,27492.650390625,28011.75,399500,2026-03-18T08:36:29.977688+00:00,yfinance
