ticker,date,open,high,low,close,volume,ingested_at,source
HEROMOTOCO.NS,2025-12-18,5674.3978677182085,5674.3978677182085,5407.598175407171,5638.595703125,1016539,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-19,5615.5447748247225,5686.658660619446,5615.5447748247225,5670.47412109375,769295,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-22,5682.735552846261,5682.735552846261,5572.386411619852,5590.53271484375,1213460,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-23,5600.831679660298,5642.519130866176,5586.1184615876355,5634.181640625,351302,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-24,5634.1818543256995,5640.0671417779895,5581.214267255089,5589.5517578125,313655,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-26,5589.551735204481,5610.640681823222,5503.724626872395,5529.2275390625,249826,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-29,5529.227528710867,5542.959866018292,5444.381301775708,5459.5849609375,572147,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-30,5463.508251619681,5632.71025761688,5460.075167440028,5601.8125,2980473,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2025-12-31,5600.3413322420965,5674.888305050644,5575.81930171297,5660.66552734375,473265,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-01,5660.665259986466,5744.040159847642,5620.4491318181335,5729.8173828125,384697,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-02,5787.199278663829,5914.223398424332,5762.677247822034,5819.568359375,1069537,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-05,5846.051982394954,5929.426884828439,5811.72114021646,5871.064453125,653817,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-06,5895.095921223959,5921.579713216146,5846.0518619791665,5885.287109375,453152,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-07,5918.146653040619,5933.350311468087,5830.3577866368505,5866.650390625,609748,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-08,5866.650716312767,5870.574241286058,5718.537648571047,5738.1552734375,562060,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-09,5738.155297458265,5778.371428602844,5641.048053962818,5662.62744140625,500234,2026-03-18T06:11:25.122603+00:00,yfinance
HEROMOTOCO.NS,2026-01-12,5662.627088443666,5681.263830983149,5519.418435245541,5617.01611328125,314329,2026-03-18T06:11:25.122603+00:00,yfinance
