article_id,ticker,company,subject,description,category,attachment_url,broadcast_date,sort_date,company_name,industry,exchange,source,ingested_at
fb93b961088058107c7f33b7d9b10c59,HEROMOTOCO,Hero MotoCorp,General Updates,"Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed herewith the specimen of the letter(s) sent to those shareholders whose interim dividend for FY 2025-26 have been withheld.",General Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_17032026200335_Stxintimation17032026.pdf,17-Mar-2026 20:03:49,2026-03-17 20:03:47,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
5344c94af49d1943c7a5ac054438f261,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached herewith the schedule of investor / analyst meeting.",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_16032026110147_Stxintimation16032026.pdf,16-Mar-2026 11:02:57,2026-03-16 11:02:56,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
d446e82f365cb6262c2d678f8740a1a4,HEROMOTOCO,Hero MotoCorp,Disclosure of material issue,"Please find enclosed herewith the intimation made by the Company under Regulation 30 read with Schedule III of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",Disclosure of material issue,https://nsearchives.nseindia.com/corporate/HEROMOTO_12032026152742_Initmationtostockexchange.pdf,12-Mar-2026 15:28:41,2026-03-12 15:28:40,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
942d9fe1cd35a6492e0217c89ca42e1e,HEROMOTOCO,Hero MotoCorp,General Updates,"Please find enclosed a specimen of the letter sent to those shareholders whose dividend were not remitted electronically, as the transaction(s) were rejected by the banking system.",General Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_10032026214137_Stxintimation10032026.pdf,10-Mar-2026 21:41:53,2026-03-10 21:41:52,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
42a15d7bc99eb5e5a001f44ed3d326a8,HEROMOTOCO,Hero MotoCorp,Copy of Newspaper Publication,Please find enclosed herewith copies of the newspaper advertisement published regarding the issue of duplicate share certificates viz. Letter of Confirmation in lieu of original share certificates that are reported to be lost and not traceable. Kindly note that the Letter of Confirmation will be issued to the concerned shareholders in case no objection is received on the advertisement,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/HEROMOTO_07032026232050_Stxintimation06032026.pdf,07-Mar-2026 23:20:59,2026-03-07 23:20:58,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
f1c32b1e6bc4ffb54a7611098ade8df9,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached herewith the schedule of investor conference.",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_06032026125344_Stxintimation06032026.pdf,06-Mar-2026 12:54:11,2026-03-06 12:54:10,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
4dfe72e18d45e01dca45465feffc093e,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached herewith the schedule of investor conference.",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_03032026164059_Stxintimation03032026.pdf,03-Mar-2026 16:41:15,2026-03-03 16:41:15,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
5fd4c5d76ee273a1923a45010ae0f164,HEROMOTOCO,Hero MotoCorp,Press Release,Please find enclosed herewith a copy of the Press Release being issued by the Company.,Press Release,https://nsearchives.nseindia.com/corporate/HEROMOTO_01032026161548_StxintimationPR01032026.pdf,01-Mar-2026 16:16:27,2026-03-01 16:16:26,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
9a5a5446969b25be83148d7e3dd048cd,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached herewith the schedule of investor meeting(s)/ conference(s).",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_17022026125730_Stxintimation17022026.pdf,17-Feb-2026 12:58:12,2026-02-17 12:58:11,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
62e955ee6d41b3a14e6f27e173ad4695,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 read with Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached the transcript of the earnings conference call held on February 6, 2026, for the quarter and nine months ended on December 31, 2025.",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_12022026144942_Transcript12022026.pdf,12-Feb-2026 14:50:56,2026-02-12 14:50:56,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
0ba0debeff6c0d6a1ae515349a7927a1,HEROMOTOCO,Hero MotoCorp,Copy of Newspaper Publication,"Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed herewith the copies of the newspaper advertisement(s) intimating that the special window has been opened for transfer and dematerialisation of physical securities.",Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/HEROMOTO_11022026123355_Stxintimation11022026.pdf,11-Feb-2026 12:34:05,2026-02-11 12:34:04,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
45dcb9705012bd3fa645514debd285fa,HEROMOTOCO,Hero MotoCorp,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 read with Schedule III of the SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015, we wish to inform you that the audio recording of the earnings call for the quarter and nine months ended on December 31, 2025 is available on the Company's website at: https://www.heromotocorp.com/en-in/company/investors/investor-relations/investor-calendar.html?key1=calendar",Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_06022026210856_Stxintimationquarterresultcall06022026.pdf,06-Feb-2026 21:13:24,2026-02-06 21:13:23,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
f7e26430608e5e06a768d90f7aaf5680,HEROMOTOCO,Hero MotoCorp,Copy of Newspaper Publication,"Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed herewith the copy of the newspaper advertisement(s) published by the Company.",Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/HEROMOTO_06022026151103_Stxintimation06022026NewspprAdvt.pdf,06-Feb-2026 15:17:59,2026-02-06 15:17:58,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
e23b2aa0256b687a4ec93f2345860cdd,HEROMOTOCO,Hero MotoCorp,General Updates,Please find enclosed a specimen of the e-mail sent to the shareholders whose email addresses are registered with the depository participants/ registrar and share transfer agent intimating about the applicable provision of tax deducted at source on Interim Dividend declared for FY 2025-26 along with the Unaudited Financial Results and Press Release for Q3FY26.,General Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_05022026220649_Stxintimation05022026NoticetoshhsEmailTDS.pdf,05-Feb-2026 22:07:26,2026-02-05 22:07:25,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
88496cf1afea7972c00783ca3f4d4887,HEROMOTOCO,Hero MotoCorp,General Updates,Please find enclosed herewith the revised details of the persons authorized jointly for the purpose of determining materiality of event or information under Regulation 30 of SEBI Listing Regulations.,General Updates,https://nsearchives.nseindia.com/corporate/HEROMOTO_05022026215306_Stockexchangeintimation05022026.pdf,05-Feb-2026 21:53:24,2026-02-05 21:53:24,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
32e86bbb9f73f58e3931fd22349b164f,HEROMOTOCO,Hero MotoCorp,Appointment,"The Board of Directors at its meeting held today, viz. February 5, 2026 has appointed Mr. Prabhat Singh (Membership No.: F8724) as the Company Secretary & Compliance Officer of the Company, effective from February 5, 2026. Consequent thereto, he shall also be the Nodal Officer of the Company.",Appointment,https://nsearchives.nseindia.com/corporate/HEROMOTO_05022026215004_STXBMOutcome05022026CS.pdf,05-Feb-2026 21:50:29,2026-02-05 21:50:28,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
42e6ff632930f38c85bb13d1998f5a44,HEROMOTOCO,Hero MotoCorp,Disclosure of material issue,"The Board of Directors at its meeting held today, viz. February 5, 2026 has considered and approved investment in the Solar Power Wheeling project, for the Company s plants at Uttarakhand and Rajasthan under the Group Captive mechanism.",Disclosure of material issue,https://nsearchives.nseindia.com/corporate/HEROMOTO_05022026214534_STXBMOutcome05022026solar.pdf,05-Feb-2026 21:46:08,2026-02-05 21:46:06,Hero MotoCorp Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-18T08:36:40.890820
