company,score_date,sentiment_score,weighted_sentiment,article_count,transcript_count,sentiment_intensity,granularity,computed_at
Maruti Suzuki,2026-03-18,5.06,0.0111,97,12,23.1999,daily,2026-03-18T08:28:29.391251
Tata Motors,2026-03-18,5.15,0.0292,96,45,23.5598,daily,2026-03-18T08:28:29.398375
Mahindra & Mahindra,2026-03-18,5.25,0.0494,102,31,24.3323,daily,2026-03-18T08:28:29.406193
Bajaj Auto,2026-03-18,5.86,0.1725,95,30,26.7471,daily,2026-03-18T08:28:29.414034
Hero MotoCorp,2026-03-18,5.69,0.1379,87,30,25.476,daily,2026-03-18T08:28:29.420241
